property_id,floor_area_m2,energy_efficiency_score,walls_eff_score,roof_eff_score,windows_eff_score,mainheat_eff_score
P2497,98.0,75,1,5,3,4
P0445,81.0,73,3,3,3,4
P2061,45.0,67,3,4,4,4
P1532,79.0,72,4,4,3,4
P0721,65.0,60,1,4,4,4
P0604,82.0,72,4,4,4,4
P0385,103.0,75,4,4,3,4
P1690,86.0,75,4,4,3,4
P1902,69.0,65,3,4,4,4
P0810,65.0,72,1,4,4,4
P0756,76.0,44,1,4,4,4
P0854,73.0,67,3,4,4,4
P0130,65.0,68,4,4,2,4
P1623,67.0,65,3,4,4,4
P0365,97.0,59,1,1,3,4
P1080,62.0,72,1,4,3,4
P1285,66.0,67,3,4,4,4
P1216,66.0,65,3,4,4,4
P1301,67.0,68,3,4,4,4
P1320,84.0,74,4,4,4,4
P0767,98.0,74,4,5,2,4
P0382,68.0,69,3,4,4,4
P2050,43.0,65,3,4,4,4
P2220,39.0,82,3,4,4,4
P1969,61.0,68,4,4,4,4
P2308,58.0,65,1,3,2,4
P2189,43.0,80,3,4,4,4
P2391,52.0,69,1,4,4,4
P1932,67.0,66,3,4,4,4
P2346,47.0,60,1,1,4,4
P2304,61.0,57,3,4,3,1
P0004,65.0,70,3,4,4,4
P0293,65.0,71,1,5,4,4
P0511,155.0,66,2,4,2,4
P2483,55.0,54,1,4,3,1
P0322,71.0,54,2,1,4,4
P2039,62.0,69,4,4,2,4
P1679,80.0,65,1,5,3,4
P1779,86.0,71,3,4,4,4
P1858,68.0,67,3,3,4,4
P0477,88.0,61,1,1,3,4
P1643,118.0,67,1,5,4,4
P1957,82.0,66,3,4,4,4
P0087,86.0,70,3,4,4,4
P1743,87.0,75,1,4,4,4
P0181,60.0,63,4,4,2,4
P1010,99.0,70,2,4,2,4
P0324,81.0,72,3,4,3,4
P1761,67.0,72,2,4,4,4
P2286,62.0,70,4,4,4,4
P2110,58.0,67,4,5,3,4
P0039,91.0,74,3,4,4,4
P0730,63.0,70,4,4,4,4
P1055,73.0,21,2,5,4,1
P1600,77.0,70,4,5,3,4
P2288,48.0,66,4,4,3,4
P1198,67.0,70,2,4,3,4
P1595,95.0,69,3,4,3,4
P0309,68.0,67,3,4,4,4
P0330,71.0,72,4,4,2,4
P0244,74.0,68,1,4,4,4
P1942,65.0,65,3,4,4,4
P0127,78.0,68,4,5,3,4
P0877,72.0,72,4,4,2,4
P2374,64.0,72,3,4,4,4
P0905,66.0,65,3,4,4,4
P0136,88.0,70,4,4,4,4
P1338,74.0,66,3,3,4,4
P0573,73.0,69,4,4,3,4
P1263,83.0,35,3,1,3,4
P2008,48.0,76,3,4,4,4
P1443,81.0,74,4,4,4,4
P0950,73.0,66,3,4,4,4
P2476,32.0,73,4,4,4,4
P1190,74.0,44,1,1,4,4
P2048,42.0,81,3,4,4,4
P0118,84.0,65,4,1,4,4
P2455,62.0,51,1,4,4,4
P1898,63.0,75,4,4,4,4
P2165,74.0,63,1,4,4,4
P1057,86.0,64,2,5,4,4
P1648,88.0,69,1,5,4,4
P0886,125.0,61,1,1,3,4
P1178,89.0,69,4,4,3,4
P0879,93.0,88,5,4,4,4
P1629,82.0,71,4,4,4,4
P1745,84.0,66,2,4,4,4
P1051,151.0,65,4,4,3,4
P0458,79.0,81,4,4,4,4
P1883,113.0,57,1,1,4,4
P1204,78.0,83,4,4,4,4
P0625,60.0,69,1,3,2,4
P2310,117.0,82,4,4,4,4
P1289,77.0,74,4,4,4,4
P0553,78.0,77,4,4,3,4
P1734,75.0,73,4,4,4,4
P1885,109.0,52,1,1,4,4
P0482,110.0,65,2,5,4,4
P1550,48.0,74,4,4,3,4
P0804,86.0,50,1,1,2,4
P0921,81.0,73,3,3,4,4
P2222,61.0,66,4,4,4,4
P2033,53.0,73,4,4,4,4
P0222,112.0,76,4,4,4,4
P1351,64.0,68,4,4,4,4
P1181,85.0,74,1,5,3,4
P0048,105.0,72,3,4,4,4
P1164,63.0,66,3,4,4,4
P1844,53.0,70,1,3,3,4
P1952,92.0,83,5,4,4,4
P0724,63.0,67,4,4,4,4
P1628,67.0,69,3,4,4,4
P0391,107.0,62,3,1,4,4
P1442,80.0,59,1,4,3,4
P0863,67.0,67,3,4,4,4
P1117,104.0,61,3,1,3,4
P2465,59.0,77,4,4,4,4
P2076,41.0,65,3,4,4,4
P2118,51.0,66,4,5,3,3
P2113,72.0,72,4,4,3,4
P0725,66.0,65,1,3,2,4
P0579,90.0,55,1,4,4,4
P1468,111.0,72,4,1,3,4
P2080,42.0,70,3,4,4,4
P1292,66.0,72,4,3,4,4
P1045,74.0,76,4,5,3,4
P2244,66.0,65,4,4,4,4
P1879,89.0,70,1,4,4,4
P1931,93.0,69,1,4,3,4
P0179,79.0,68,3,4,2,4
P0253,66.0,65,3,4,3,4
P0469,84.0,75,4,4,4,4
P1539,69.0,71,4,4,4,4
P1398,64.0,66,4,4,3,4
P1701,78.0,61,1,3,3,4
P0019,67.0,57,3,5,4,4
P1945,96.0,73,4,4,3,4
P0292,70.0,61,1,5,4,4
P1152,69.0,64,3,1,2,4
P1374,81.0,90,4,4,3,4
P0909,87.0,77,4,4,4,4
P0423,73.0,75,4,4,4,4
P0199,67.0,68,3,4,4,4
P2487,52.0,71,2,4,3,4
P1704,72.0,74,4,3,2,4
P0441,89.0,57,1,3,3,4
P2031,88.0,58,1,5,3,4
P0468,78.0,60,1,2,3,4
P0498,90.0,55,1,1,3,4
P1016,90.0,57,1,3,4,4
P0571,98.0,66,3,4,4,4
P1393,72.0,51,1,1,4,4
P2159,71.0,65,4,3,3,4
P1800,91.0,59,1,4,4,4
P1471,64.0,67,1,4,4,4
P2378,53.0,60,2,4,3,4
P0859,89.0,76,1,4,3,4
P2193,62.0,69,4,5,3,4
P0305,69.0,67,3,4,4,4
P1344,64.0,65,3,4,4,4
P1006,68.0,67,4,4,3,4
P1998,61.0,69,4,4,3,4
P1622,75.0,65,4,5,2,4
P1132,50.0,70,4,4,4,4
P1180,98.0,60,1,5,3,4
P2130,43.0,66,3,4,4,4
P1073,67.0,66,3,4,4,4
P0461,74.0,74,3,4,3,4
P1467,65.0,66,1,4,2,4
P1603,69.0,69,3,4,4,4
P1037,220.0,62,2,3,3,4
P0699,90.0,66,1,3,1,4
P0201,58.0,74,4,3,3,4
P2111,61.0,68,4,4,4,4
P1463,64.0,70,4,4,4,4
P2082,60.0,59,2,4,3,3
P1493,88.0,73,4,4,4,4
P1607,100.0,54,4,5,2,4
P0426,67.0,64,3,4,3,4
P0021,88.0,77,4,4,4,4
P1591,79.0,66,3,4,4,4
P2404,74.0,80,1,5,2,4
P0197,205.0,68,1,3,2,4
P2205,41.0,68,3,4,4,4
P1413,75.0,66,3,4,4,4
P1270,75.0,74,4,4,4,4
P0152,112.0,55,2,1,4,4
P0380,90.0,60,1,4,2,4
P0432,79.0,63,3,4,4,4
P1771,133.0,84,4,4,2,4
P0268,91.0,52,1,1,4,4
P2268,192.0,64,4,3,2,4
P0995,82.0,58,1,4,3,4
P1161,134.0,76,4,3,3,4
P0870,124.0,55,1,1,3,4
P0818,81.0,47,3,4,2,3
P1805,67.0,71,3,4,4,4
P1226,65.0,55,1,3,2,4
P0406,68.0,66,3,4,4,4
P1417,97.0,66,3,4,4,4
P0530,67.0,65,3,4,3,4
P0516,67.0,68,3,4,4,4
P2381,51.0,74,4,3,3,3
P1959,89.0,81,4,4,3,4
P0869,83.0,63,4,4,4,4
P2160,47.0,72,4,5,2,4
P1059,120.0,47,4,3,4,1
P0376,67.0,67,3,4,4,4
P1732,67.0,68,3,3,4,4
P2269,66.0,69,4,4,4,4
P0107,87.0,65,4,3,2,4
P0294,95.0,69,1,4,3,4
P2151,41.0,71,4,5,3,4
P2017,46.0,84,5,5,4,4
P0154,69.0,73,4,4,4,4
P0463,68.0,65,3,4,3,4
P1437,75.0,62,3,3,3,4
P1333,82.0,70,4,4,3,4
P1355,98.0,86,4,4,4,4
P2451,79.0,79,4,4,3,4
P1665,63.0,65,3,4,4,4
P0168,116.0,76,4,3,3,4
P0747,86.0,74,4,5,4,4
P0782,77.0,67,2,3,3,4
P2216,44.0,67,3,4,3,4
P1576,64.0,73,4,4,4,4
P1545,66.0,74,3,4,4,4
P1551,66.0,69,3,4,3,4
P2472,49.0,67,2,4,3,3
P0261,87.0,73,2,4,4,4
P1457,89.0,69,2,3,4,4
P1836,78.0,70,1,5,3,4
P2007,38.0,82,3,4,3,4
P2412,52.0,71,1,5,3,4
P2045,46.0,63,4,4,4,4
P0328,78.0,73,4,4,3,4
P1470,63.0,68,2,1,3,4
P2297,55.0,69,4,4,3,4
P1572,81.0,67,3,4,4,4
P0440,76.0,74,4,4,3,4
P1672,69.0,11,1,3,2,1
P1268,67.0,69,3,4,3,4
P0923,66.0,67,3,4,4,4
P1277,175.0,68,1,4,4,4
P1970,49.0,75,1,1,3,4
P0849,67.0,67,3,4,4,4
P1510,81.0,66,1,4,2,4
P0588,65.0,73,4,3,2,4
P0129,47.0,73,4,4,3,4
P0966,74.0,69,3,4,4,4
P0661,118.0,79,4,4,4,4
P2026,48.0,77,3,4,4,4
P1120,63.0,64,3,4,4,4
P0008,76.0,70,4,5,4,4
P1880,71.0,64,1,3,3,4
P1736,68.0,66,3,4,4,4
P1995,62.0,65,4,4,4,4
P1960,68.0,66,3,4,4,4
P1670,65.0,73,3,3,4,4
P1375,68.0,70,4,3,2,4
P1158,74.0,77,5,4,3,4
P2074,44.0,83,3,4,4,4
P1506,79.0,65,1,4,2,4
P2292,43.0,80,3,4,4,4
P0105,63.0,74,4,4,3,4
P2278,52.0,73,4,4,2,3
P1677,88.0,57,1,4,4,4
P0968,68.0,63,1,1,4,4
P1669,90.0,64,1,3,3,4
P2435,42.0,63,1,4,4,4
P2335,47.0,72,4,2,4,4
P0078,68.0,70,3,4,4,4
P2331,47.0,80,4,4,3,4
P0856,75.0,52,1,1,4,4
P2384,73.0,72,4,4,4,2
P1105,63.0,65,3,4,4,4
P0897,80.0,73,4,2,4,4
P0867,88.0,61,1,4,4,4
P2238,62.0,63,4,4,4,4
P0411,67.0,65,3,4,4,4
P1202,63.0,66,4,4,4,4
P0548,66.0,57,1,4,4,4
P1697,83.0,78,4,5,3,4
P1715,83.0,75,4,4,4,4
P2356,46.0,77,4,4,3,2
P0284,81.0,54,1,4,4,4
P0367,68.0,66,3,4,4,4
P0613,64.0,66,3,4,4,4
P1102,67.0,76,3,4,3,4
P0733,89.0,74,4,2,4,4
P2109,71.0,66,4,3,3,4
P0561,72.0,64,1,3,2,4
P0002,88.0,81,4,4,3,4
P1712,97.0,69,4,3,4,4
P1194,67.0,67,3,3,4,4
P0467,64.0,75,4,4,3,4
P2062,61.0,65,4,4,4,4
P0687,66.0,65,3,4,3,4
P0424,68.0,67,3,4,4,4
P1746,66.0,65,3,4,4,4
P0299,92.0,58,1,4,4,4
P0771,66.0,65,3,4,4,4
P0834,58.0,74,4,4,3,4
P0712,68.0,65,2,2,3,4
P1183,74.0,51,4,1,4,3
P0904,80.0,59,3,3,3,4
P2388,42.0,72,3,4,4,4
P1851,69.0,67,3,4,4,4
P1972,61.0,84,4,4,4,4
P1313,85.0,72,4,4,4,4
P0813,89.0,75,3,4,4,4
P2473,61.0,54,4,1,4,3
P0567,85.0,74,4,4,4,4
P1063,70.0,65,3,4,4,4
P2125,37.0,79,3,5,4,4
P1575,123.0,73,4,4,2,4
P2214,61.0,76,4,4,2,4
P0592,83.0,71,3,3,3,4
P2116,48.0,71,5,4,3,4
P0472,84.0,59,1,4,4,4
P1300,82.0,73,1,5,4,4
P1082,95.0,49,1,3,3,4
P2210,44.0,66,3,4,4,4
P0124,64.0,71,4,4,4,4
P2317,45.0,75,3,4,4,4
P0686,97.0,66,3,4,4,4
P0148,71.0,71,4,5,4,4
P0319,99.0,61,1,1,3,4
P2336,64.0,76,4,4,3,2
P2287,58.0,69,5,4,2,4
P0241,73.0,72,3,5,3,4
P1757,79.0,75,4,4,3,4
P1547,67.0,54,2,4,4,4
P0403,81.0,71,4,4,4,4
P2383,108.0,71,2,4,1,4
P0409,67.0,59,3,1,4,4
P2219,55.0,66,4,4,3,4
P1118,68.0,66,3,4,4,4
P0546,76.0,68,3,5,3,4
P0821,82.0,76,4,4,4,4
P0990,78.0,70,2,4,2,4
P0979,67.0,64,2,2,3,4
P1083,88.0,66,1,3,2,4
P0615,94.0,75,4,4,3,4
P0313,76.0,50,1,4,4,4
P1608,69.0,65,3,4,4,4
P0606,92.0,71,2,4,3,4
P2481,76.0,75,4,4,4,4
P0629,75.0,67,3,4,4,4
P0224,84.0,73,1,4,2,4
P1783,65.0,70,4,4,3,4
P1061,76.0,70,1,4,4,4
P2095,61.0,61,5,1,3,4
P1267,64.0,68,3,4,4,4
P1123,69.0,69,1,5,2,4
P0791,60.0,78,4,5,4,4
P0532,81.0,66,4,4,4,4
P2253,48.0,61,3,3,2,4
P1060,70.0,60,3,3,2,3
P1229,70.0,71,1,4,3,4
P0128,69.0,63,3,4,4,4
P0529,68.0,63,4,4,3,4
P1286,63.0,73,4,3,4,4
P0240,88.0,72,4,4,3,4
P2194,62.0,69,4,4,4,4
P0486,64.0,70,1,5,3,4
P2099,48.0,76,4,5,3,4
P0714,82.0,79,4,4,3,4
P0350,128.0,80,5,5,4,4
P1950,88.0,66,3,4,3,4
P2448,46.0,70,2,3,4,4
P0736,88.0,62,1,4,4,4
P0956,86.0,72,4,4,1,4
P0614,88.0,56,1,4,3,4
P0182,65.0,70,4,4,4,4
P1379,130.0,72,1,4,3,4
P0893,63.0,69,4,4,4,4
P0656,67.0,74,4,4,3,4
P1321,66.0,65,3,4,3,4
P0001,112.0,69,3,5,4,4
P0228,83.0,23,1,1,4,3
P0205,126.0,62,1,3,3,4
P0831,115.0,71,3,4,3,4
P0630,80.0,74,3,3,4,4
P1584,96.0,70,4,5,3,4
P2338,70.0,76,3,4,4,4
P0297,67.0,70,3,4,3,4
P0702,69.0,79,1,5,2,4
P2323,52.0,55,1,1,3,4
P1163,87.0,66,1,3,4,4
P0209,68.0,71,3,4,4,4
P0964,85.0,72,4,4,3,4
P0227,91.0,53,3,2,2,4
P1877,68.0,67,3,4,4,4
P1154,77.0,72,3,4,4,4
P0112,104.0,47,1,4,1,4
P0379,98.0,55,1,1,4,4
P0109,63.0,69,4,4,4,4
P1490,58.0,71,4,4,3,4
P2401,67.0,81,4,4,3,4
P0273,63.0,47,1,4,2,4
P1527,80.0,64,1,4,4,4
P1828,78.0,72,3,4,4,4
P1842,99.0,61,3,4,3,4
P1895,98.0,78,4,5,3,4
P0670,113.0,72,3,3,3,4
P1179,59.0,69,4,3,4,4
P1615,90.0,78,4,4,4,4
P1098,62.0,70,4,4,4,4
P1461,69.0,71,4,4,4,4
P1497,80.0,59,3,2,4,4
P1644,116.0,63,1,3,2,4
P0522,64.0,71,4,3,4,4
P0664,75.0,66,3,4,4,4
P1421,103.0,59,2,4,3,4
P0635,81.0,62,1,1,4,4
P1039,88.0,76,4,4,3,4
P1724,84.0,72,4,4,4,4
P1041,85.0,66,1,4,3,4
P1391,71.0,75,4,4,3,4
P1776,63.0,65,3,4,3,4
P1711,65.0,59,1,4,4,4
P2060,51.0,78,3,4,4,4
P1483,86.0,59,1,4,4,4
P1777,96.0,68,2,3,2,4
P1075,71.0,67,3,4,4,4
P0260,81.0,74,4,4,3,4
P2362,38.0,72,4,4,3,4
P0752,65.0,69,3,4,4,4
P2243,94.0,59,3,1,3,4
P2298,45.0,71,4,4,4,4
P0638,83.0,73,4,3,3,4
P1003,83.0,76,3,4,4,4
P0488,65.0,70,1,5,2,4
P1713,54.0,67,3,4,4,4
P0641,210.0,70,2,4,3,4
P2102,58.0,48,2,4,3,3
P0788,66.0,72,3,5,4,4
P1848,67.0,31,1,1,3,4
P0073,68.0,65,3,3,4,4
P1423,71.0,63,1,3,2,4
P0053,81.0,70,4,3,3,4
P1304,63.0,65,3,4,4,4
P1557,65.0,69,3,4,4,4
P1788,58.0,63,1,4,3,4
P1696,78.0,68,1,3,3,4
P0304,65.0,73,4,4,4,4
P2311,33.0,67,4,5,3,1
P2315,68.0,75,4,4,4,1
P1200,76.0,71,1,3,3,4
P2348,22.0,76,4,5,3,1
P1936,93.0,33,1,5,2,4
P1766,106.0,82,4,4,4,4
P0155,67.0,69,3,4,3,4
P1599,77.0,73,4,3,1,4
P0081,86.0,70,4,4,4,4
P1325,86.0,64,3,5,3,4
P2213,66.0,70,4,4,4,4
P0980,49.0,73,4,5,3,4
P0325,80.0,64,3,4,4,4
P0177,112.0,75,4,4,3,4
P1583,83.0,59,2,3,2,4
P0443,67.0,62,1,4,1,4
P0318,68.0,68,3,4,4,4
P0024,92.0,77,4,4,4,4
P0353,73.0,63,2,2,3,4
P1925,73.0,68,3,4,4,4
P1714,85.0,68,3,1,4,4
P0371,86.0,71,3,4,4,4
P0563,68.0,70,3,4,4,4
P1219,68.0,71,3,4,4,4
P1517,91.0,60,2,3,2,4
P0689,96.0,56,1,4,3,4
P0798,75.0,62,4,1,4,4
P0729,82.0,72,4,4,4,4
P1013,56.0,69,4,5,3,4
P1518,100.0,60,3,4,3,3
P1087,89.0,61,1,4,3,3
P1116,79.0,80,5,4,3,4
P2066,61.0,67,4,5,4,4
P0041,113.0,71,1,4,4,4
P0076,62.0,71,4,4,4,4
P1775,65.0,69,4,4,4,4
P1157,57.0,78,4,5,3,4
P1544,68.0,67,3,4,4,4
P0279,69.0,71,3,4,3,4
P0944,83.0,66,3,4,4,4
P0556,108.0,74,4,4,3,4
P0590,87.0,66,1,4,3,4
P0596,84.0,69,2,3,2,4
P1067,106.0,68,3,4,4,4
P2271,55.0,85,4,4,4,4
P2427,75.0,69,1,4,2,4
P1394,78.0,75,4,4,4,4
P1196,147.0,65,1,5,3,4
P1018,83.0,66,3,4,4,4
P1068,63.0,69,4,3,3,4
P2255,62.0,69,4,4,4,4
P1225,66.0,68,3,4,4,4
P0626,69.0,71,3,4,3,4
P2324,48.0,58,1,1,3,4
P0436,66.0,69,4,4,2,4
P1602,111.0,62,1,4,3,4
P0978,68.0,65,3,4,4,4
P0948,102.0,82,4,4,4,4
P0296,83.0,66,3,4,4,4
P2241,61.0,71,4,4,3,4
P2299,57.0,88,4,4,4,4
P1710,77.0,62,1,5,3,4
P0738,63.0,73,4,4,4,4
P0692,75.0,60,1,5,2,4
P2063,49.0,87,3,4,4,4
P0356,69.0,62,4,4,4,4
P1410,81.0,71,3,4,3,4
P0707,67.0,65,4,4,4,4
P1756,81.0,52,3,1,4,3
P0668,87.0,48,4,4,2,4
P1889,71.0,65,3,3,4,4
P1466,67.0,58,4,4,2,4
P0064,100.0,60,1,1,2,4
P0514,67.0,66,3,4,4,4
P1501,63.0,70,3,4,4,4
P1310,65.0,72,4,5,4,4
P0450,67.0,61,1,4,4,4
P0888,51.0,77,5,4,4,4
P0622,69.0,67,3,4,4,4
P2179,62.0,67,4,4,4,4
P0160,70.0,72,4,4,3,4
P1799,91.0,62,4,1,4,4
P2371,60.0,72,3,4,4,4
P2185,62.0,78,4,5,4,4
P0320,78.0,65,1,5,3,4
P0651,83.0,75,4,4,4,4
P2049,50.0,74,4,4,3,4
P2124,70.0,50,4,3,3,4
P0772,57.0,75,4,5,2,4
P1056,69.0,69,3,4,4,4
P0569,93.0,72,4,4,4,4
P0694,66.0,66,3,3,4,4
P1002,64.0,74,4,4,4,4
P1938,58.0,59,3,3,3,4
P2059,61.0,61,5,1,3,4
P0812,83.0,71,4,4,4,4
P0262,269.0,78,4,4,4,4
P1873,77.0,71,3,4,3,4
P0478,82.0,73,4,4,3,4
P1726,61.0,72,1,5,4,4
P2190,63.0,69,4,4,4,4
P0431,77.0,56,1,4,4,4
P0122,73.0,57,1,1,3,4
P2149,43.0,78,3,4,4,4
P2161,48.0,67,3,4,4,4
P1476,117.0,67,2,5,3,4
P0608,68.0,60,3,4,3,4
P0480,76.0,67,3,4,4,4
P1621,68.0,47,2,3,2,4
P0006,84.0,31,1,1,3,4
P2281,65.0,64,4,4,4,4
P1258,89.0,58,1,4,3,4
P1900,70.0,75,1,4,4,4
P0144,67.0,65,3,4,4,4
P0300,63.0,72,1,5,4,4
P1066,136.0,64,1,3,3,4
P1254,85.0,68,1,5,3,4
P1433,67.0,68,3,4,4,4
P2376,42.0,71,2,4,3,4
P1257,64.0,69,4,5,3,4
P2264,54.0,71,5,4,3,4
P2468,72.0,69,4,3,3,2
P1980,48.0,51,2,1,4,4
P0315,67.0,60,4,4,4,4
P0848,84.0,71,1,3,3,4
P1816,66.0,67,3,4,4,4
P1893,62.0,75,4,4,3,4
P0208,92.0,75,4,5,4,4
P1233,67.0,71,4,4,3,4
P1242,72.0,71,4,4,4,4
P2270,59.0,69,4,4,3,4
P1774,69.0,63,2,4,4,4
P0985,69.0,71,1,4,3,4
P0363,50.0,71,4,3,3,4
P0433,85.0,70,4,4,4,4
P2198,61.0,71,4,4,4,4
P0355,84.0,87,5,4,3,4
P0414,59.0,67,4,3,4,4
P1567,59.0,69,4,5,4,4
P0407,65.0,72,4,4,4,4
P0056,69.0,61,3,2,3,4
