timestamp,indoor_temp_C,relative_humidity_%,CO2_ppm,light_lux,electricity_kWh
28/01/2024 16:00,16.5,0.519,380.0,12.0,11.66
28/01/2024 17:00,17.4,0.544,380.0,17.0,11.09
28/01/2024 18:00,17.6,0.524,399.0,15.0,13.39
28/01/2024 19:00,16.6,0.509,407.0,6.0,13.91
28/01/2024 20:00,17.5,0.578,447.0,2.0,12.18
28/01/2024 21:00,17.2,0.607,380.0,0.0,14.96
28/01/2024 22:00,17.4,0.508,430.0,0.0,9.72
28/01/2024 23:00,17.9,0.567,394.0,0.0,11.61
29/01/2024 00:00,16.9,0.53,399.0,0.0,10.57
29/01/2024 01:00,16.6,0.535,420.0,0.0,8.27
29/01/2024 02:00,16.6,0.532,380.0,0.0,11.83
29/01/2024 03:00,16.6,0.524,411.0,0.0,11.76
29/01/2024 04:00,17.0,0.551,405.0,4.0,15.03
29/01/2024 05:00,17.2,0.525,415.0,28.0,13.26
29/01/2024 06:00,17.1,0.558,409.0,18.0,9.95
29/01/2024 07:00,17.4,0.548,474.0,0.0,15.71
29/01/2024 08:00,21.0,0.443,781.0,330.0,37.44
29/01/2024 09:00,21.7,0.423,784.0,369.0,36.16
29/01/2024 10:00,20.9,0.433,781.0,330.0,34.55
29/01/2024 11:00,22.4,0.473,783.0,346.0,33.08
29/01/2024 12:00,21.3,46.5,-50.0,361.0,34.26
29/01/2024 13:00,20.6,42.1,836.0,331.0,37.18
29/01/2024 14:00,20.5,45.3,843.0,352.0,38.77
29/01/2024 15:00,21.2,47.3,783.0,323.0,38.09
29/01/2024 16:00,20.9,40.0,775.0,338.0,34.02
29/01/2024 17:00,,46.6,814.0,356.0,32.76
29/01/2024 18:00,21.2,43.0,783.0,318.0,35.28
29/01/2024 19:00,17.0,56.7,419.0,9.0,8.46
29/01/2024 20:00,16.6,52.7,406.0,0.0,12.65
29/01/2024 21:00,16.2,49.6,380.0,11.0,11.7
29/01/2024 22:00,16.8,50.1,446.0,4.0,11.07
29/01/2024 23:00,17.4,55.1,454.0,27.0,8.81
30/01/2024 00:00,17.1,55.8,382.0,3.0,13.03
30/01/2024 01:00,16.4,52.3,388.0,0.0,10.93
30/01/2024 02:00,17.1,56.9,409.0,2.0,9.66
30/01/2024 03:00,17.2,50.0,410.0,11.0,6.26
30/01/2024 04:00,16.6,54.8,420.0,1.0,11.94
30/01/2024 05:00,17.1,51.4,460.0,1.0,15.54
30/01/2024 06:00,17.0,53.0,395.0,0.0,15.32
30/01/2024 07:00,16.4,55.1,380.0,0.0,11.09
2024-01-30 08:00:00,21.2,42.4,759.0,322.0,33.8
2024-01-30 09:00:00,21.3,43.8,778.0,385.0,35.94
2024-01-30 10:00:00,21.5,48.0,799.0,325.0,33.0
2024-01-30 11:00:00,21.5,43.3,854.0,336.0,35.6
2024-01-30 12:00:00,20.3,47.5,784.0,336.0,36.53
2024-01-30 13:00:00,20.5,41.6,807.0,368.0,37.45
2024-01-30 14:00:00,21.3,46.6,800.0,344.0,34.8
2024-01-30 15:00:00,21.3,49.3,836.0,375.0,34.59
2024-01-30 16:00:00,21.3,37.6,876.0,337.0,33.24
2024-01-30 17:00:00,22.9,42.6,784.0,356.0,33.35
2024-01-30 18:00:00,21.3,46.7,785.0,333.0,34.55
2024-01-30 19:00:00,17.6,54.4,431.0,43.0,12.73
2024-01-30 20:00:00,17.5,56.1,420.0,0.0,13.83
2024-01-30 21:00:00,17.3,53.2,455.0,6.0,10.39
2024-01-30 22:00:00,16.8,55.3,418.0,13.0,14.99
2024-01-30 23:00:00,17.4,54.5,389.0,8.0,11.46
2024-01-31 00:00:00,16.6,58.5,418.0,0.0,11.96
2024-01-31 01:00:00,16.9,55.8,433.0,0.0,10.51
2024-01-31 02:00:00,16.8,56.0,425.0,1.0,7.15
2024-01-31 03:00:00,17.0,53.8,415.0,0.0,13.77
2024-01-31 04:00:00,18.2,53.5,432.0,19.0,999.99
2024-01-31 05:00:00,16.1,53.7,435.0,44.0,11.44
2024-01-31 06:00:00,17.3,56.2,441.0,0.0,12.13
2024-01-31 07:00:00,16.2,53.7,419.0,0.0,13.03
2024-01-31 08:00:00,20.8,45.9,795.0,348.0,31.87
2024-01-31 09:00:00,21.5,51.2,804.0,402.0,33.94
2024-01-31 10:00:00,21.0,47.6,836.0,334.0,36.59
2024-01-31 11:00:00,20.5,44.0,775.0,383.0,32.49
2024-01-31 12:00:00,20.6,48.6,811.0,384.0,35.59
2024-01-31 13:00:00,21.3,43.8,788.0,339.0,32.29
2024-01-31 14:00:00,20.6,38.9,801.0,361.0,35.93
2024-01-31 15:00:00,,42.0,838.0,383.0,34.93
2024-01-31 16:00:00,21.0,39.4,806.0,342.0,31.77
2024-01-31 17:00:00,20.7,43.9,801.0,346.0,37.33
2024-01-31 18:00:00,22.1,45.1,759.0,338.0,33.53
2024-01-31 19:00:00,17.3,60.0,422.0,0.0,10.38
2024-01-31 20:00:00,16.0,56.0,419.0,0.0,12.4
2024-01-31 21:00:00,,54.3,465.0,0.0,14.3
2024-01-31 22:00:00,16.7,57.5,391.0,1.0,9.97
2024-01-31 23:00:00,17.4,48.4,407.0,0.0,12.12
2024-02-01 00:00:00,16.6,55.7,407.0,5.0,12.86
2024-02-01 01:00:00,16.9,57.3,447.0,0.0,13.39
2024-02-01 02:00:00,17.3,50.6,397.0,7.0,12.35
2024-02-01 03:00:00,17.4,58.4,408.0,17.0,11.27
2024-02-01 04:00:00,16.4,56.0,418.0,0.0,10.34
2024-02-01 05:00:00,16.8,53.8,406.0,7.0,12.17
2024-02-01 06:00:00,16.8,56.9,387.0,25.0,9.86
2024-02-01 07:00:00,16.7,61.8,406.0,0.0,6.16
2024-02-01 08:00:00,21.9,45.5,832.0,383.0,35.87
2024-02-01 09:00:00,21.2,45.7,769.0,358.0,36.81
2024-02-01 10:00:00,20.4,43.6,804.0,336.0,30.27
2024-02-01 11:00:00,21.5,42.5,779.0,349.0,32.98
2024-02-01 12:00:00,22.1,47.5,836.0,361.0,36.24
2024-02-01 13:00:00,21.5,42.4,754.0,352.0,39.11
2024-02-01 14:00:00,20.2,45.2,783.0,361.0,35.04
2024-02-01 15:00:00,20.8,43.6,811.0,332.0,33.54
2024-02-01 16:00:00,21.6,46.4,847.0,353.0,34.63
2024-02-01 17:00:00,20.6,46.0,798.0,322.0,37.75
2024-02-01 18:00:00,21.2,48.1,783.0,348.0,33.71
2024-02-01 19:00:00,17.4,53.5,456.0,0.0,10.4
2024-02-01 20:00:00,16.5,54.2,380.0,0.0,11.03
2024-02-01 21:00:00,17.0,52.1,380.0,25.0,10.09
2024-02-01 22:00:00,15.4,53.7,413.0,22.0,12.25
2024-02-01 23:00:00,,56.1,385.0,12.0,15.25
2024-02-02 00:00:00,16.9,57.3,380.0,0.0,12.65
2024-02-02 01:00:00,16.4,52.2,421.0,0.0,11.5
2024-02-02 02:00:00,17.8,57.6,407.0,24.0,11.42
2024-02-02 03:00:00,16.3,59.1,383.0,3.0,8.87
2024-02-02 04:00:00,16.8,56.2,380.0,46.0,13.77
2024-02-02 05:00:00,17.1,60.6,426.0,8.0,11.84
2024-02-02 06:00:00,17.7,52.7,420.0,4.0,11.64
2024-02-02 07:00:00,16.3,51.3,397.0,0.0,18.39
2024-02-02 08:00:00,21.6,39.7,855.0,353.0,35.6
2024-02-02 09:00:00,21.0,49.5,768.0,347.0,33.5
2024-02-02 10:00:00,20.5,47.0,754.0,364.0,34.15
2024-02-02 11:00:00,21.2,44.8,779.0,369.0,37.3
2024-02-02 12:00:00,21.1,45.8,799.0,334.0,35.23
2024-02-02 13:00:00,20.7,41.6,807.0,323.0,32.12
2024-02-02 14:00:00,,52.3,793.0,313.0,36.84
2024-02-02 15:00:00,20.8,45.4,811.0,360.0,33.66
2024-02-02 16:00:00,21.1,45.3,762.0,328.0,38.75
2024-02-02 17:00:00,21.3,47.2,843.0,307.0,37.16
2024-02-02 18:00:00,,46.4,798.0,358.0,34.11
2024-02-02 19:00:00,16.4,55.7,434.0,50.0,14.56
2024-02-02 20:00:00,18.1,52.6,410.0,0.0,12.14
2024-02-02 21:00:00,16.0,56.4,414.0,17.0,13.71
2024-02-02 22:00:00,16.9,60.6,417.0,2.0,12.97
2024-02-02 23:00:00,17.3,59.0,413.0,0.0,10.31
2024-02-03 00:00:00,17.1,59.8,419.0,18.0,10.71
2024-02-03 01:00:00,16.7,53.5,440.0,0.0,14.06
2024-02-03 02:00:00,,52.0,406.0,5.0,N/A
2024-02-03 03:00:00,16.8,54.6,421.0,6.0,11.19
2024-02-03 04:00:00,16.7,55.2,397.0,0.0,10.09
2024-02-03 05:00:00,17.4,58.3,443.0,20.0,12.85
2024-02-03 06:00:00,17.2,49.9,380.0,0.0,16.13
2024-02-03 07:00:00,16.7,59.6,454.0,0.0,9.86
2024-02-03 08:00:00,17.4,54.5,399.0,11.0,12.05
2024-02-03 09:00:00,17.2,53.7,380.0,0.0,14.82
2024-02-03 10:00:00,17.4,52.0,404.0,1.0,11.84
2024-02-03 11:00:00,17.3,50.0,380.0,0.0,12.9
2024-02-03 12:00:00,16.6,57.5,425.0,22.0,9.88
2024-02-03 13:00:00,16.7,55.2,380.0,9.0,12.86
2024-02-03 14:00:00,17.4,51.1,387.0,0.0,11.63
2024-02-03 15:00:00,17.3,51.1,380.0,16.0,13.97
2024-02-03 16:00:00,17.0,54.0,386.0,28.0,14.37
2024-02-03 17:00:00,17.1,60.0,380.0,11.0,17.18
2024-02-03 18:00:00,17.6,54.2,380.0,0.0,13.16
2024-02-03 19:00:00,16.7,50.5,423.0,0.0,12.65
2024-02-03 20:00:00,17.3,54.3,424.0,0.0,12.39
2024-02-03 21:00:00,16.9,54.2,413.0,0.0,11.29
2024-02-03 22:00:00,16.9,46.9,380.0,0.0,12.68
2024-02-03 23:00:00,17.5,54.8,399.0,0.0,11.41
2024-02-04 00:00:00,17.4,54.3,400.0,1.0,12.34
2024-02-04 01:00:00,17.4,57.1,380.0,11.0,14.64
2024-02-04 02:00:00,17.7,60.5,445.0,0.0,9.99
2024-02-04 03:00:00,17.0,58.4,426.0,10.0,14.28
2024-02-04 04:00:00,17.3,54.2,393.0,1.0,14.63
2024-02-04 05:00:00,16.8,51.7,401.0,0.0,11.76
2024-02-04 06:00:00,17.2,62.7,406.0,0.0,7.76
2024-02-04 07:00:00,16.9,55.2,380.0,0.0,10.78
2024-02-04 08:00:00,17.0,55.0,393.0,0.0,14.59
2024-02-04 09:00:00,17.3,54.9,380.0,12.0,11.95
2024-02-04 10:00:00,16.6,55.6,380.0,31.0,10.0
2024-02-04 11:00:00,18.0,54.6,392.0,24.0,10.99
2024-02-04 12:00:00,16.5,53.3,454.0,0.0,13.68
2024-02-04 13:00:00,16.4,53.4,419.0,30.0,13.09
2024-02-04 14:00:00,17.6,54.9,383.0,3.0,11.52
2024-02-04 15:00:00,17.4,53.4,417.0,0.0,11.27
2024-02-04 16:00:00,17.3,52.9,442.0,0.0,11.22
2024-02-04 17:00:00,17.3,55.3,428.0,0.0,10.16
2024-02-04 18:00:00,17.0,54.2,402.0,0.0,15.23
2024-02-04 19:00:00,16.6,59.5,381.0,3.0,11.36
2024-02-04 20:00:00,17.0,47.0,421.0,3.0,14.43
2024-02-04 21:00:00,16.7,58.3,412.0,0.0,15.04
2024-02-04 22:00:00,17.5,58.7,427.0,9.0,14.0
2024-02-04 23:00:00,16.9,48.8,419.0,24.0,11.14
24/01/2024 02:00,17.5,56.0,380.0,11.0,12.469999999999999
27/01/2024 00:00,17.2,54.7,408.0,0.0,10.04
2024-02-01 10:00:00,20.5,43.6,804.0,336.0,30.77
